
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Brasov, 40492 ORAS ZARNESTI, Anul 2009, Numar persoane, 229
Brasov, 40492 ORAS ZARNESTI, Anul 2010, Numar persoane, 227
Brasov, 40492 ORAS ZARNESTI, Anul 2011, Numar persoane, 233
Brasov, 40492 ORAS ZARNESTI, Anul 2012, Numar persoane, 245
Brasov, 40492 ORAS ZARNESTI, Anul 2013, Numar persoane, 246
Brasov, 40492 ORAS ZARNESTI, Anul 2014, Numar persoane, 256
Brasov, 40492 ORAS ZARNESTI, Anul 2015, Numar persoane, 262
Brasov, 40492 ORAS ZARNESTI, Anul 2016, Numar persoane, 245
Brasov, 40526 APATA, Anul 1990, Numar persoane, 43
Brasov, 40526 APATA, Anul 1991, Numar persoane, 30
Brasov, 40526 APATA, Anul 1992, Numar persoane, 30
Brasov, 40526 APATA, Anul 1993, Numar persoane, 29
Brasov, 40526 APATA, Anul 1994, Numar persoane, 30
Brasov, 40526 APATA, Anul 1995, Numar persoane, 39
Brasov, 40526 APATA, Anul 1996, Numar persoane, 41
Brasov, 40526 APATA, Anul 1997, Numar persoane, 41
Brasov, 40526 APATA, Anul 1998, Numar persoane, 30
Brasov, 40526 APATA, Anul 1999, Numar persoane, 33
Brasov, 40526 APATA, Anul 2000, Numar persoane, 44
Brasov, 40526 APATA, Anul 2001, Numar persoane, 39
Brasov, 40526 APATA, Anul 2002, Numar persoane, 42
Brasov, 40526 APATA, Anul 2003, Numar persoane, 27
Brasov, 40526 APATA, Anul 2004, Numar persoane, 25
Brasov, 40526 APATA, Anul 2005, Numar persoane, 34
Brasov, 40526 APATA, Anul 2006, Numar persoane, 32
Brasov, 40526 APATA, Anul 2007, Numar persoane, 33
Brasov, 40526 APATA, Anul 2008, Numar persoane, 35
Brasov, 40526 APATA, Anul 2009, Numar persoane, 28
Brasov, 40526 APATA, Anul 2010, Numar persoane, 33
Brasov, 40526 APATA, Anul 2011, Numar persoane, 26
Brasov, 40526 APATA, Anul 2012, Numar persoane, 23
Brasov, 40526 APATA, Anul 2013, Numar persoane, 38
Brasov, 40526 APATA, Anul 2014, Numar persoane, 36
Brasov, 40526 APATA, Anul 2015, Numar persoane, 36
Brasov, 40526 APATA, Anul 2016, Numar persoane, 29
