falu|megye|hun
Bojia |Cornereva, CS|
Boju |Cojocna, CJ|Kolozsbós
Bolda |Beltiug, SM|Alsóboldád
Boldesti |Avram Iancu, AB|
Boldur |Boldur, TM|Boldor
Boldut |Ceanu Mare, CJ|Boldoc
Bolintineni |Pasareni, MS|Nyárádbálintfalva
Bologa |Poieni, CJ|Sebesvár
Bologaia |Pogaceaua, MS|Balogéja
Bolovanesti |Ceru-Bacainti, AB|
Bolovanis |Ghimes-Faget, BC|Bálványospataka
Bolvasnita |Bolvasnita, CS|Bolvás
Boncesti |Oras Campeni, AB|
Bontaeni |sisesti, MM|Pusztatelek
Bont |Fizesu Gherlii, CJ|Boncnyíres
Bontesti |Gurahont, AR|Boncafalva
Bontida |Bontida, CJ|Bonchida
Borcut |Oras Targu Lapus, MM|Borkút
Bord |Cucerdea, MS|Bord
Bordei, Cerbu |Bucium, AB|
Bordesti Goesti, Dealu Goiesti |Vidra, AB|
Bordestii Poieni |Vidra, AB|
Bordosiu |Fantanele, MS|Bordos
Borla |Bocsa, SJ|Szilágyballa
Borleasa |Tarlisua, BN|Lonkafalva
Borlesti |Oras Campeni, AB|
Borlesti |Pomi, SM|Barlafalu
Borlova |Turnu Ruieni, CS|Borló
Borlovenii Noi |Prigor, CS|Újborlovény
Borlovenii Vechi |Prigor, CS|Óborlovény
Borod |Borod, BH|Nagybáród
Borosneu Mare |Borosneu Mare, CV|Nagyborosnyó
Borosneu Mic |Borosneu Mare, CV|Kisborosnyó
Borozel |Borod, BH|Kisbáród
Borsec |Oras Borsec, HR|Borszék
Bors |Bors, BH|Bors
Borsa |Sacadat, BH|Borostelek
Borsa |Borsa, CJ|Kolozsborsa
Borsa |Oras Borsa, MM|Borsa
Borsa-Catun |Borsa, CJ|Bánffytanya
Borsa-Crestaia |Borsa, CJ|Keresztaljtelep
Borsoaia, Starcu |Ceanu Mare, CJ|
Borugi |Cornereva, CS|
Borumlaca |Suplacu de Barcau, BH|Baromlak
Borz |soimi, BH|Borz
Borza |Creaca, SJ|Egregyborzova
Borzesti |Iara, CJ|Berkes
Borzia |Rastolita, MS|Borziatelep
Borzond, Trei Sate |Ghindari, MS|Borzond
Borzond, Sangeorgiu de Padure |Sangeorgiu de Padure, MS|Borzond
Borzont |Joseni, HR|Borzont
Bos |Municipiul Hunedoara, HD|Bós
Bosorod |Bosorod, HD|Bosoród
Botani, Banita |Banita, HD| Báton
Botean |Ineu, BH|Mezőbottyán
Botei |Zau de Campie, MS|Botadűlő
Boteni |Mociu, CJ|Botháza
Boteni, Izvoru Muresului |Voslabeni, HR|Bótatelep
Botesti |Oras Campeni, AB|
Botesti |Oras Zlatna, AB|Botes bánya
Botesti |Scarisoara, AB|
Botesti |Barna, TM|Borzasfalva
Botez |Atintis, MS|Batizháza
Botfei |Hasmas, AR|Botfej
Botinesti |Barna, TM|Bottyánfalva
Botinesti, Beba Veche |Beba Veche, TM|Battyánháza
Botiz |Botiz, SM|Batiz
Botiza |Botiza, MM|Batiza
Botorca |Municipiul Tarnaveni, MS|Őrhegy
Botorca-Blajel, Blajel |Blajel, SB|Botorkatanya
Botos, Cojocna |Cojocna, CJ|Botos
Botani |Ramet, AB|
Botoni, Petrosani |Municipiul Petrosani, HD|Bocony
Boz |Dostat, AB|Buzd
Boz |Branisca, HD|Bóz
Bozanta Mare |Tautii-Magheraus, MM|Nagybozinta
Bozanta Mica |Recea, MM|Kisbozinta
Bozed |Ceuasu de Campie, MS|Bazéd
Bozeni |Livezeni, MS|Székelybós
Bozes |Oras Geoagiu, HD|Bózes
Bozias, Tarnaveni |Municipiul Tarnaveni, MS|Borzás
Bozies |Chiochis, BN|Magyarborzás
Bozies |Nusfalau, SJ|Szilágyborzás
Bozna |Agrij, SJ|Szentpéterfalva
Bozovici |Bozovici, CS|Bozovics
Brad |Municipiul Brad, HD|Brád
Bradu |Oras Avrig, SB|Fenyőfalva
Bran |Bran, BV|Törcsvár
Branistea |Branistea, BN|Árpástó
Brasov |Municipiul Brasov, BV|Brassó
Bratca |Bratca, BH|Barátka
Brateiu |Brateiu, SB|Baráthely
Brates, Rachitis |Ghimes-Faget, BC|Barátostelep
Brates |Brates, CV|Barátos
Bratova |Tarnova, CS|
Brazi |Rau de Mori, HD|Gureny
Brazii |Brazii, AR|Raj
Brazii, Remetea |Remetea, HR|Lúdfarka
Bradatel |Burjuc, HD|Bradacel
Bradeana |Sohodol, AB|
Bradeni |Bradeni, SB|Hégen
Bradesti |Ramet, AB|Bredesty
Bradesti |Bradesti, HR|Fenyéd
Bradet |Almasu Mare, AB|Bregyét házcsoport
Bradet |Buntesti, BH|Biharfenyves
Bradet |Oras intorsura Buzaului, CV|Bredét telep
Bradetelu |Ibanesti, MS|Disznópatak
Bradetul, Sacele |Municipiul Sacele, BV|Ósánc
Bradisoru de Jos |Oras Oravita, CS|Majdán
Bradut |Bradut, CV|Bardoc
Braisoru |Sancraiu, CJ|Malomszeg
Branesti |Oras Faget, TM|Avasfalva
Branisca |Branisca, HD|Branyicska
Braseu |Zam, HD|Brassó
Brateni |Sanmihaiu de Campie, BN|Mezőbarátfalva
Bratesti |Rabagani, BH|
Bratise, Brad |Municipiul Brad, HD|
Brazesti |Oras Baia de Aries, AB|Berzesd
Braglez |Surduc, SJ|Tótszállás
Brancovenesti |Brancovenesti, MS|Marosvécs
Braznic |Ilia, HD|Briznik
Breaza |Ciceu-Giurgesti, BN|Emberfő
Breaza |Lisa, BV|Breáza
Breaza |Breaza, MS|Beresztelke
Breazova |Sarmizegetusa, HD|Brázova
Breazova |Margina, TM|Béganyiresd
Breb |Ocna sugatag, MM|Bréb
Brebeni |Cernesti, MM|Brébfalva
Brebi |Creaca, SJ|Beréd
Brebu |Brebu, CS|Perlő
Brebu Nou |Brebu Nou, CS|Temesfő
Brestelnic |Sichevita, CS|
Brestovat |Brestovat, TM|Aga
Brestea |Denta, TM|Berestye
Bretea |sieu-Odorhei, BN|Magyarberéte
Bretea, Balsa |Balsa, HD|
Bretea Muresana |Ilia, HD|Marosbrettye
Bretea Romana |Bretea Romana, HD|Oláhbrettye
Bretea Streiului |Bretea Romana, HD|Magyarbrettye
Bretelin |Vetel, HD|Brettyelin
Bretcu |Bretcu, CV|Bereck
Brezon |Forotic, CS|Bársonyfalva
Briheni |Lunca, BH|Berhény
Brosteni |Oras Oravita, CS|Krassóborostyán
Brosteni |Pauca, SB|Kiskerék
Brotuna |Vata de Jos, HD|Brotuna
Bruiu |Bruiu, SB|Brulya
Brusturesc, Zimbru |Gurahont, AR|Borosztok
Brusturei, Cotorasti |Ramet, AB|
Brusturi |Halmagiu, AR|Páfrányos
Brusturi |Brusturi, BH|Tataros
Brusturi |Finis, BH|Papkútfürdő
Brusturi |Creaca, SJ|Somróújfalu
Bruznic |Dorgos, AR|Marosborosznok
Bubesti |Arieseni, AB|
Bucea |Ciucea, CJ|Királyhágó
Buceava-soimus |Brazii, AR|Solymosbucsa
Bucerdea Granoasa |Craciunelu de Jos, AB|Buzásbocsárd
Bucerdea Vinoasa |Ighiu, AB|Borosbocsárd
Bucerdea Vinoasa Romaneasca, Bucerdea Vinoasa |Ighiu, AB|Oláhborosbocsárd
Bucerdea Vinoasa Ungureasca, Bucerdea Vinoasa |Ighiu, AB|Magyarborosbocsárd
Buces |Buces, HD|Bucsesd
Buces-Vulcan |Buces, HD|
Buchin |Buchin, CS|Bökény
Buchin, Salha |Costeiu, TM|Bukin
Bucin |Joseni, HR|Bucsin
Bucin |Praid, HR|Bucsin
Bucium |Bucium, AB|Bucsony
Bucium |Ceica, BH|Tőkefalva
Bucium |sinca, BV|Bucsum
Bucium |Orastioara de Sus, HD|Bucsum
Bucium-Orlea |Santamaria-Orlea, HD|Bucsum
Bucium-Sat |Bucium, AB|Bucsum-Szát
Buciumi |somcuta Mare, MM|Törökfalu
Buciumi |Buciumi, SJ|Vármező
Bucosnita |Bucosnita, CS|Bokos
Bucova |Bautar, CS|Bukova
Bucovat |Dumbrava, TM|Bukovec
Bucovat |Remetea Mare, TM|Bükkfalva
Bucureni, Damuc |Damuc, NT|
Bucuresci |Bucuresci, HD|Bukuresd
Bucuroaia |Copacel, BH|Bokorvány
Bucuru |Oras Cugir, AB|Bukuruhavas
Budacu de Jos |Budacu de Jos, BN|Szászbudak
Budacu de Sus |Cetate, BN|Felsőbudak
Budaiesti |Albac, AB|
Budeni |Oras Zlatna, AB|
Budesti, Segaj |Vidra, AB|
Budesti |Plescuta, AR|Bugyfalva
Budesti |Budesti, BN|Budatelke
Budesti |Budesti, MM|Budfalva
Budesti-Fanate |Budesti, BN|Szénásbudatelke
Budila |Budila, BV|Bodola
Budint, Ictar-Budinti |Topolovatu Mare, TM|Budinc
Budiu Mic |Craciunesti, MS|Hagymásbodon
Budoi |Popesti, BH|Bodonos
Budureasa |Budureasa, BH|Bondoraszó
Budurleni |Teaca, BN|Budurló
Budurleni Case, Brateni |Sanmihaiu de Campie, BN|Barátfalvitó
Buduslau |Buduslau, BH|Érbogyoszló
Budus |Budacu de Jos, BN|Alsóbudak
Buhani |Dezna, AR|Bajnokfalva
Buia |seica Mare, SB|Bólya
Buituri, Hunedoara |Municipiul Hunedoara, HD|Bujtur
Bujor |Mihesu de Campie, MS|Kendeffytanya
Bujor-Hodaie |Zau de Campie, MS|Hodáj és Bozsortanya
Bujoru |Dobra, HD|Sztregonya
Bulbuc |Ceru-Bacainti, AB|Bulbuk
Bulci |Bata, AR|Bulcs
Bulgari |Salatig, SJ|Nyírfalva
Bulgareni |Lupeni, HR|Bogárfalva
Bulgarus |Lenauheim, TM|Bogáros
Bulz, Valisoara |Livezile, AB|
Bulz |Bulz, BH|Csarnóháza
Bulza |Margina, TM|Bulza
Bulzestii de Jos |Bulzestii de Sus, HD|Alsóbulzesd
Bulzestii de Sus |Bulzestii de Sus, HD|Bulzesd
Bulzu, Uricani |Oras Uricani, HD|
Bunea Mare |Oras Faget, TM|Bunya
Bunea Mica |Oras Faget, TM|Bunyaszekszárd
Bunesti |Bunesti, BV|Szászbuda
Bunesti |Mintiu Gherlii, CJ|Széplak
Bunesti |Balsa, HD|Bunesd községrész
Bungard |Lechinta, BN|Szászbongárd
Bungard |selimbar, SB|Bongárd
Bunguri, sieu-Magherus |sieu-Magherus, BN|Bungárddűlő
Bunila |Bunila, HD|Bunyila
Buninginea |Ciuruleasa, AB|Buninzsina
Bunta |Rosia Montana, AB|
Buntesti |Buntesti, BH|Bontesd
Burda |Budureasa, BH|Borda
Burdesti, Cimpa |Oras Petrila, HD|
Burjuc |Burjuc, HD|Burzsuk
Bursuc, Sanmarghita |Mica, CJ|Burzuk
Burtuca, Rosia |Balsa, HD|Burtuka községrész
Buru |Iara, CJ|Borrév
Burzesti |Vadu Motilor, AB|
Burzonesti |Sohodol, AB|
Burzuc |Sarbi, BH|Borszeg
Busag |Tautii-Magheraus, MM|Buság
Butani |Magesti, BH|Rikosd
Buteasa |somcuta Mare, MM|Bucsonfalva
Buteni |Buteni, AR|Körösbökény
Buteni |Margau, CJ|Kalotabökény
Butesti |Horea, AB|
Butesti |Mogos, AB|
Butin |Gataia, TM|Temesbökény
Butura, Deleni-Obarsia |Municipiul Blaj, AB|
Buza |Buza, CJ|Buza
Buza Catun |Chiochis, BN|Buzai fogadók
Buzad |Bogda, TM|Buzád
Buzas |Rus, SJ|Buzamező
Buzaiel |Vama Buzaului, BV|Kisbodza
Buzaul Ardelean, intorsura Buzaului |Oras intorsura Buzaului, CV|Magyarbodza
Buzd |Brateiu, SB|Szászbuzd
Buzdular, Poienita Voinii |Bunila, HD|Buzdulár
Buzesti |Farcasa, MM|Szamosújfalu
Buzias |Oras Buzias, TM|Buziásfürdő
Cacova Ierii |Iara, CJ|Aranyosivánfalva
Cacuciu Nou |Magesti, BH|Nagykakucs
Cacuciu Vechi |Auseu, BH|Kiskakucs
Cadar |Tormac, TM|Kádár
Cadea |Sacueni, BH|Kágya
Cadea Mare, Cadea |Sacueni, BH|Nagykágya
Cadea Mica , Cadea |Sacueni, BH|Kiskágya
Caila |sintereag, BN|Kajla
Calbor |Beclean, BV|Kálbor
Calea Mare |Lazareni, BH|Magyargyepes
Calina |Dognecea, CS|Galonya
Calna |Vad, CJ|Kálna
Calnic |Valea Crisului, CV|Kálnok
Calonda |Corund, HR|Kalonda
Calvaser-Padure, Boarta |seica Mare, SB|
Camar |Camar, SJ|Kémer
Camena |Cornereva, CS|Kamenavölgy
Camenita |Sichevita, CS|
Camna |silindia, AR|Kávna
Cantonu Garii, Valea Florilor |Ploscos, CJ|
Caporal Alexa |Santana, AR|Erdőskerek
Capu Corbului |Corbu, HR|Hollósarka
Capu Dealului |Cenade, AB|Hegyitanyák
Capu Dealului, Stupini |Sanmihaiu de Campie, BN|Hegymegetti tanyák
Capu Dealului, Gradini |Valea Larga, MS|
Capu Dealului, Bogatu Roman |Pauca, SB|Capu Delalui tanya
Cara |Cojocna, CJ|Kolozskara
Carani |Sanandrei, TM|Merczyfalva
Caransebes |Municipiul Caransebes, CS|Karánsebes
Caransebesu Nou, Caransebes |Municipiul Caransebes, CS|Újkaránsebes
Carastelec |Carastelec, SJ|Kárásztelek
Carasova |Carasova, CS|Krassóvár
Carei |Municipiul Carei, SM|Nagykároly
Carpen |spring, AB|Árvádtanya
Carpenii de Sus |spring, AB|Gyertyános
Carpitus |Oras Baile Tusnad, HR|Kárpitus
Casa de Piatra |Arieseni, AB|
Casa de Piatra |Arieseni, AB|
Casele Bicalat, Muntele Baisorii |Baisoara, CJ|Bikalattelep
Casele Micesti |Feleacu, CJ|Kaszoly
Casinu Mic |Sanzieni, CV|Kiskászon
Casinu Nou |Plaiesii de Jos, HR|Kászonújfalu
Casolt |Rosia, SB|Hermány
Casva |Gurghiu, MS|Kásva
Catalina |Catalina, CV|Szentkatolna
Cata |Cata, BV|Kaca
Cauaceu |Biharia, BH|Hegyközkovácsi
Cavnic |Oras Cavnic, MM|Kapnikbánya
Cavnicu de Jos, Cavnic |Oras Cavnic, MM|Alsókapnik
Cabesti |Cabesti, BH|Biharkaba
Cabesti |Branisca, HD|Kabesd
Caciulata |Raciu, MS|
Cacuciu |Beica de Jos, MS|Görgénykakucs
Cadaci, Atia |Corund, HR|Kadács
Cadaciu Mare |simonesti, HR|Kadács
Cadaciu Mic |simonesti, HR|Kiskadács
Cadaresti |Palanca, BC|Magyarcsügés
Cadiseni, Odorheiu Secuiesc |Municipiul Odorheiu Secuiesc, HR|Kadicsfalva
Caianu |Caianu, CJ|Magyarkályán
Caianu Mare |Caianu Mic, BN|Nagykaján
Caianu Mic |Caianu Mic, BN|Kiskaján
Caianu Mic |Caianu, CJ|Kiskályán
Caianu-Vama |Caianu, CJ|Kályánivám
Cainelu de Jos |soimus, HD|Alsókajanel
Cainelu de Sus |Baita, HD|Felsőkajanel
Calacea |Olcea, BH|Bélkalocsa
Calacea |Garbou, SJ|Kiskalocsa
Calacea |Ortisoara, TM|Temeskalácsa
Calan |Oras Calan, HD|Pusztakalán
Calanu Mic |Oras Calan, HD|Kiskalán
Calata |Calatele, CJ|Nagykalota
Calamaresti, Brad |Municipiul Brad, HD|
Calarasi |Calarasi, CJ|Harasztos
Calarasi-Gara |Calarasi, CJ|Harasztosi vasútitelep
Calatani |Tileagd, BH|Kalota
Calatea |Astileu, BH|Kalota
Calatele |Calatele, CJ|Kiskalota
Calene |Oras Cugir, AB|Kalenihavas
Calimanel |Oras Toplita, HR|Kelemenpatak
Calimanesti |Fantanele, MS|Kelementelke
Calimaresti-Colindesti, Brad |Municipiul Brad, HD|Kalamanesd
Calinesti |Calinesti, MM|Felsőkálinfalva
Calinesti-Oas |Calinesti-Oas, SM|Kányaháza
Calnaci |Subcetate, HR|Kalnács
Calugareni |Felnac, AR|
Calugareni |Martinis, HR|Homoródremete
Calugareni |Eremitu, MS|Mikháza
Calugaresti |Avram Iancu, AB|
Caluseri |Ernei, MS|Székelykál
Calvasar, seica Mare |seica Mare, SB|Hidegviz
Camarasu |Camarasu, CJ|Pusztakamarás
Camarzana |Camarzana, SM|Komorzán
Camin |Capleni, SM|Kálmánd
Canicea |Domasnea, CS|Szörénykanizsa
Caoi |Vetel, HD|Káun
Capalnas |Birchis, AR|Kápolnás
Capat |Racovita, TM|Keped
Capalna |Sasciori, AB|Sebeskápolna
Capalna |Capalna, BH|Feketekápolna
Capalna |Galgau, SJ|Csicsókápolna
Capalna de Jos |Jidvei, AB|Alsókápolna
Capalna de Sus |Mica, MS|Felsőkápolna
Capalnita |Capalnita, HR|Kápolnásfalu
Capeni |Oras Baraolt, CV|Köpec
Capeti |Oras Sovata, MS|Kopac
Capleni |Capleni, SM|Kaplony
Capraresti, Banita |Banita, HD|
Caprioara |Savarsin, AR|Kaprevár
Caprioara |Recea-Cristur, CJ|Kecskeháta
Capruta |Barzava, AR|Maroskapronca
Captalan |Noslac, AB|Maroskáptalan
Capud |Oras Teius, AB|Magyarkapud
Capusu de Campie |Iclanzel, MS|Mezőkapus
Capusu Mare |Capusu Mare, CJ|Magyarkapus
Capusu Mic |Capusu Mare, CJ|Magyarkiskapus
Caraci |Baia de Cris, HD|Karács
Carand |Carand, AR|Hévizkáránd
Carandeni |Lazareni, BH|Nagykáránd
Caranzel |Lazareni, BH|Kiskáránd
Carasau |Cociuba Mare, BH|Karaszó
Carastau |Baia de Cris, HD|Karasztó
Caraseu |Culciu, SM|Szamoskrassó
Carbunari |Budureasa, BH|Biharszenes
Carbunari |Carbunari, CS|Szenesfalu
Carbunari |Dumbravita, MM|Kővárfüred
Carmazinesti |Gurasada, HD|Karmazinesd
Carpinenii |Poian, CV|Csángótelep
Carpinet |Carpinet, BH|Kerpenyéd
Carpinis |Garbova, AB|Kerpenyes
Carpinis |Rosia Montana, AB|Abrudkerpenyes
Carpinis |Tarlungeni, BV|Kerpenest
Carpinis |Oras Simeria, HD|Gyertyános
Carpinis |Copalnic-Manastur, MM|Kővárgyertyános
Carpinis |Carpinis, TM|Gyertyámos
Casoaia |Avram Iancu, AB|
Castau |Beriu, HD|Kasztó
Caseiu |Caseiu, CJ|Alsókosály
Casesti, Barlesti |Mogos, AB|
Catalina |Panticeu, CJ|Szentkatolnadorna
Catalina |Sacalaseni, MM|Koltókatalin
Catina |Catina, CJ|Katona
Cauas |Cauas, SM|Érkávás
Cauasd |Tulca, BH|Kávásd
Cavaran |Constantin Daicoviciu, CS|Kavarán
Cazanesti |Vata de Jos, HD|Kazanesd
Calnic |Calnic, AB|Kelnek
Calnic |Municipiul Resita CS|Kölnök
Camp |OrasVascau, BH|Vaskohmező
Camp |Urmenis, BN|
Camp-Moti |OrasVascau, BH|
Campani |Campani, BH|Felsőmezős
Campani de Pomezeu |Pomezeu, BH|Nagypapmező
Campanii de Jos, Campani |Campani, BH|Alsómezős
Campenesti, Brazesti |Oras Baia de Aries, AB|
Campenesti |Apahida, CJ|Telekfarka
Campeni |Oras Campeni, AB|Topánfalva
Campenita |Ceuasu de Campie, MS|Mezőfele
Campia |Socol, CS|Néramező
Campia |Bocsa, SJ|Somlyómező
Campia Turzii |Municipiul Campia Turzii, CJ|Aranyosgyéres
Campu Cetatii |Eremitu, MS|Vármező
Campu Goblii |Vintu de Jos, AB|Telekvinc
Campu Lat, Stanciova |Recas, TM|Szélesmező
Campu lui Neag |Oras Uricani, HD|Kimpulunyág
Campulung la Tisa |Campulung la Tisa, MM|Hosszúmező
Campuri de Sus |Gurasada, HD|Kimpur
Campuri-Surduc |Gurasada, HD|Kimpényszurduk
Candesti |Avram Iancu, AB|
Candu |Magherani, MS|Kendő
Carasti |Avram Iancu, AB|
Carjiti |Carjiti, HD|Kersec
Carlibaba Noua |Carlibaba, SV|Radnalajosfalva
Carnecea |Ticvaniu Mare, CS|Kernyécsa
Carnesti |Totesti, HD|Kernyesd
Carsa Rosie |sopotu Nou, CS|Kersia Rosie
Carsie |Sichevita, CS|
Carta |Carta, HR|Karcfalva
Carta |Carta, SB|Kerc
Cartisoara |Cartisoara, SB|Strezakercisora
Cartulesti |Avram Iancu, AB|
Catcau |Catcau, CJ|Kackó
Ceaba |Sanmartin, CJ|Bálványoscsaba
Ceaca |Zalha, SJ|Almáscsáka
Cean |Sauca, SM|Tasnádcsány
Ceanu Mare |Ceanu Mare, CJ|Mezőcsán
Ceanu Mic |Tureni, CJ|Pusztacsán
Cebza |Ciacova, TM|Csebze
Cecalaca |Atintis, MS|Csekelaka
Cechesti |Avramesti, HR|Csekefalva
Cefa |Cefa, BH|Cséffa
Cehal |Cehal, SM|Oláhcsaholy
Cehalut |Cehal, SM|Magyarcsaholy
Cehei |Oras simleu Silvaniei, SJ|Somlyócsehi
Cehetel |simonesti, HR|Csehétfalva
Cehu Silvaniei |Oras Cehu Silvaniei, SJ|Szilágycseh
Ceica |Ceica, BH|Magyarcséke
Ceie |Ghindari, MS|Cséje
Ceisoara |Ceica, BH|Cseszvára
Cenad, Cenadu Mare |Cenad, TM|Nagycsanád
Cenade |Cenade, AB|Szászcsanád
Cenadu Vechi, Cenad |Cenad, TM|Őscsanád
Cenalos |Ciuhoi, BH|Biharcsanálos
Cenei |Cenei, TM|Csene
Ceneiu Croat, Cenei |Cenei, TM|Horvátcsene
Ceneiu Sarbesc, Cenei |Cenei, TM|Szerbcsene
Cepari |Dumitra, BN|Csépán
Cerbal |Cerbal, HD|Cserbel
Cerbesti |Poieni, CJ|Kecskéstanya
Cerbia |Zam, HD|Cserbia
Cerbu |Bucium, AB|Bucsum-Cserbu
Cerc |Valea Ierii, CJ|Kisfeneshavas
Cercelesti, Mortesti |Ceanu Mare, CJ|
Cergau Mare |Cergau, AB|Magyarcserged
Cergau Mic |Cergau, AB|Bolgárcserged
Cerghid |Ungheni, MS|Nagycserged
Cerghizel |Ungheni, MS|Kiscserged
Cerisa |Halmasd, SJ|Szilágycseres
Cerisor |Lelese, HD|Cserisor
Cermei |Cermei, AR|Csermő
Cerna, Bogaltin |Cornereva, CS|Cserna
Cerna, Cincis-Cerna |Teliucu Inferior, HD|Cserna
Cerna |Liebling, TM|Temescserna
Cernat |Cernat, CV|Csernáton
Cernatu, Sacele |Municipiul Sacele, BV|Csernátfalu
Cernatu de Jos, Cernat |Cernat, CV|Alsócsernáton
Cernatu de Sus, Cernat |Cernat, CV|Felsőcsernáton
Cernesti |Cernesti, MM|Csernefalva
Cerneteaz |Giarmata, TM|Csernegyház
Cernisoara, Cernisoara Florese |Bunila, HD|Csernisora
Cernisoara Florese |Bunila, HD|Csernisorafloresza
Cernuc |Garbou, SJ|Csernek
Certege |Oras Campeni, AB|Csertés
Certeju de Jos |Vorta, HD|Alsócsertés
Certeju de Sus |Certeju de Sus, HD|Felsőcsertés
Certeze |Certeze, SM|Avasújfalu
Ceru-Bacainti |Ceru-Bacainti, AB|Bokajfelfalu
Cesariu, Santioana |taga, CJ|Császári
Cetan |Vad, CJ|Csatány
Cetariu |Cetariu, BH|Hegyközcsatár
Cetatea de Balta |Cetatea de Balta, AB|Küküllővár
Cetatele |sisesti, MM|Györkefalva
Cetatuia |Sansimion, HR|Csatószeg
Cetea |Galda de Jos, AB|Csáklya
Cetea |Borod, BH|Cséklye
Ceuas |Mica, MS|Csávás
Ceuasu de Campie |Ceuasu de Campie, MS|Mezőcsávás
Charlotenburg |Bogda, TM|Saroltavár
Checea |Cenei, TM|Nagykőcse
Checea Croata, Checea |Cenei, TM|Kőcse
Cheches |Secas, TM|Lippakékes
Chechis |Dumbravita, MM|Oláhkékes
Chechis |Balan, SJ|Kettősmező
Chedia Mare |simonesti, HR|Nagykede
Chedia Mica |simonesti, HR|Kiskede
Chegea |Sacaseni, SM|Kegye
Cheglevici |Dudestii Vechi, TM|Keglevichháza
Cheia |Ramet, AB|Remetei szoros
Cheia |Moieciu, BV|Kheja
Cheia |Mihai Viteazu, CJ|Mészkő
Cheile Cibului |Almasu Mare, AB|Tyéj házcsoport
Cheleteni |Bistra, AB|
Chelinta |Ulmeni, MM|Kelence
Chelmac |Conop, AR|Maroseperjes
Chendrea |Balan, SJ|Kendermező
Chendremal |Zimbor, SJ|Kendermál
Chendu |Balauseri, MS|Kend
Chendu Mare, Chendu |Balauseri, MS|Nagykend
Chendu Mic, Chendu |Balauseri, MS|Kiskend
Cherechiu |Cherechiu, BH|Kiskereki
Cherelus |sicula, AR|Kerülős
Cheresig |Girisu de Cris, BH|Körösszeg
Cherestur |Beba Veche, TM|Pusztakeresztúr
Chereusa |Santau, SM|Érkőrös
Cherghes |Carjiti, HD|Kerges
Cheriu |Osorhei, BH|Alkér
Chesau |Mociu, CJ|Mezőkeszü
Chesint |Zabrani, AR|Lippakeszi
Chesler |Micasasa, SB|Keszlér
Chesa |Cociuba Mare, BH|Kisháza
Chesereu |Cherechiu, BH|Érkeserű
Chet |Oras Marghita, BH|Magyarkéc
Chetani |Chetani, MS|Maroskece
Chetiu |Chiochis, BN|Ketel
Cheud |Napradea, SJ|Kőd
Cheveresu Mare |Cheveresu Mare, TM|Nagykövéres
Chibed |Ghindari, MS|Kibéd
Chichirau, Crasna |Sita Buzaului, CV|
Chichis |Chichis, CV|Kökös
Chichis-Bastelec, Bacel, |Chichis, CV|Kökösbácstelek
Chichisa |Romanasi, SJ|Alsónyárló
Chidea |Vultureni, CJ|Kide
Chier |Tarnova, AR|Kurtakér
Chiesd |Chiesd, SJ|Szilágykövesd
Chiheru de Jos |Chiheru de Jos, MS|Alsóköhér
Chiheru de Sus |Chiheru de Jos, MS|Felsőköhér
Chijic |Copacel, BH|Kegyek
Chileni |Suseni, HR|Kilyénfalva
Chilia |Homoroade, SM|Pácafalu
Chilieni |Municipiul Sfantu Gheorghe, CV|Kilyén
Chilioara |Coseiu, SJ|Szilágykirva
Chimindia |Harau, HD|Kéménd
Chimitelnic |Sanger, MS|Keménytelke
Chinari |Santana de Mures, MS|Várhegy
Chinedru, Copsa Mare |Biertan, SB|
Chincius |Adamus, MS|Kincses
Chintelnic |sieu-Magherus, BN|Kentelke
Chinteni |Chinteni, CJ|Kajántó
Chinusu |Martinis, HR|Kénos
Chioag |Sarbi, BH|Kővág
Chiochis |Chiochis, BN|Kékes
Chirales |Lechinta, BN|Kerlés
Chiraleu |Chislaz, BH|Berettyókirályi
Chiribis |Tauteu, BH|Bisztraterebes
Chirileu |Sanpaul, MS|Kerelő
Chiris |Geaca, CJ|Kőristanya
Chirpar |Chirpar, SB|Kürpöd
Chisalita |Iclanzel, MS|Tyiszelica
Chisau |Sauca, SM|Keszi
Chisaul Roman, Chisau |Sauca, SM|Oláhkeszi
Chisindia |Chisindia, AR|Keszend
Chistag |Astileu, BH|Keszteg
Chiscadaga |soimus, HD|Kecskedága
Chiscau |Pietroasa, BH|Kiskoh
Chisineu-Cris |Oras Chisineu-Cris, AR|Kisjenő
Chisirid |Nojorid, BH|Kisürögd
Chisirig, Bicazu Ardelean |Bicazu Ardelean, NT|Köszörűkőpatak
Chislaca |Craiva, AR|Kislaka
Chislaz |Chislaz, BH|Vámosláz
Chisoda |Giroc, TM|Tesöld
Chitid |Bosorod, HD|Kitid
Chiuiesti |Chiuiesti, CJ|Pecsétszeg
Chiurus |Oras Covasna, CV|Csomakőrös
Chiuza |Chiuza, BN|Középfalva
Chiuzbaia |Oras Baia Sprie, MM|Kisbánya
Chizatau |Belint, TM|Kiszető
Chizeni |Galgau, SJ|Közfalu
Ciacova |Ciacova, TM|Csák
Ciaracio |Siculeni, HR|Csaracsó
Cib |Almasu Mare, AB|Cseb
Ciba |Municipiul Miercurea-Ciuc, HR|Csiba
Ciba, Craciunesti |Craciunesti, MS|Csiba
Cibu |Fantanele, MS|Csöb
Cicau |Miraslau, AB|Csákó
Cicard |Lopadea Noua, AB|Csengerpuszta
Cicarlau |Cicarlau, MM|Nagysikárló
