
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
1 ani, Feminin, Total, Mures, Anul 2008, Numar persoane, 3141
1 ani, Feminin, Total, Mures, Anul 2009, Numar persoane, 3131
1 ani, Feminin, Total, Mures, Anul 2010, Numar persoane, 3233
1 ani, Feminin, Total, Mures, Anul 2011, Numar persoane, 3143
1 ani, Feminin, Total, Mures, Anul 2012, Numar persoane, 2987
2 ani, Masculin, Total, Covasna, Anul 1999, Numar persoane, 1276
2 ani, Masculin, Total, Covasna, Anul 2000, Numar persoane, 1321
2 ani, Masculin, Total, Covasna, Anul 2001, Numar persoane, 1271
2 ani, Masculin, Total, Covasna, Anul 2002, Numar persoane, 1306
2 ani, Masculin, Total, Covasna, Anul 2003, Numar persoane, 1393
2 ani, Masculin, Total, Covasna, Anul 2004, Numar persoane, 1366
2 ani, Masculin, Total, Covasna, Anul 2005, Numar persoane, 1284
2 ani, Masculin, Total, Covasna, Anul 2006, Numar persoane, 1330
2 ani, Masculin, Total, Covasna, Anul 2007, Numar persoane, 1358
2 ani, Masculin, Total, Covasna, Anul 2008, Numar persoane, 1390
2 ani, Masculin, Total, Covasna, Anul 2009, Numar persoane, 1407
2 ani, Masculin, Total, Covasna, Anul 2010, Numar persoane, 1251
2 ani, Masculin, Total, Covasna, Anul 2011, Numar persoane, 1312
2 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 1325
2 ani, Masculin, Total, Harghita, Anul 1999, Numar persoane, 1823
2 ani, Masculin, Total, Harghita, Anul 2000, Numar persoane, 2019
2 ani, Masculin, Total, Harghita, Anul 2001, Numar persoane, 1923
2 ani, Masculin, Total, Harghita, Anul 2002, Numar persoane, 1906
2 ani, Masculin, Total, Harghita, Anul 2003, Numar persoane, 1964
2 ani, Masculin, Total, Harghita, Anul 2004, Numar persoane, 1835
2 ani, Masculin, Total, Harghita, Anul 2005, Numar persoane, 1825
2 ani, Masculin, Total, Harghita, Anul 2006, Numar persoane, 1828
2 ani, Masculin, Total, Harghita, Anul 2007, Numar persoane, 1852
2 ani, Masculin, Total, Harghita, Anul 2008, Numar persoane, 1904
2 ani, Masculin, Total, Harghita, Anul 2009, Numar persoane, 1945
2 ani, Masculin, Total, Harghita, Anul 2010, Numar persoane, 1887
2 ani, Masculin, Total, Harghita, Anul 2011, Numar persoane, 1875
2 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 1907
2 ani, Masculin, Total, Mures, Anul 1999, Numar persoane, 3196
2 ani, Masculin, Total, Mures, Anul 2000, Numar persoane, 3379
2 ani, Masculin, Total, Mures, Anul 2001, Numar persoane, 3309
2 ani, Masculin, Total, Mures, Anul 2002, Numar persoane, 3371
2 ani, Masculin, Total, Mures, Anul 2003, Numar persoane, 3578
2 ani, Masculin, Total, Mures, Anul 2004, Numar persoane, 3284
2 ani, Masculin, Total, Mures, Anul 2005, Numar persoane, 3317
2 ani, Masculin, Total, Mures, Anul 2006, Numar persoane, 3329
2 ani, Masculin, Total, Mures, Anul 2007, Numar persoane, 3383
2 ani, Masculin, Total, Mures, Anul 2008, Numar persoane, 3492
2 ani, Masculin, Total, Mures, Anul 2009, Numar persoane, 3349
2 ani, Masculin, Total, Mures, Anul 2010, Numar persoane, 3343
2 ani, Masculin, Total, Mures, Anul 2011, Numar persoane, 3443
2 ani, Masculin, Total, Mures, Anul 2012, Numar persoane, 3372
