
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
TOTAL, Masculin, MACROREGIUNEA TREI, Anul 2012, Lei, 1966
TOTAL, Masculin, MACROREGIUNEA TREI, Anul 2013, Lei, 2040
TOTAL, Masculin, Regiunea SUD-MUNTENIA, Anul 2011, Lei, 1423
TOTAL, Masculin, Regiunea SUD-MUNTENIA, Anul 2012, Lei, 1496
TOTAL, Masculin, Regiunea SUD-MUNTENIA, Anul 2013, Lei, 1546
TOTAL, Masculin, Arges, Anul 2011, Lei, 1562
TOTAL, Masculin, Arges, Anul 2012, Lei, 1646
TOTAL, Masculin, Arges, Anul 2013, Lei, 1728
TOTAL, Masculin, Calarasi, Anul 2011, Lei, 1138
TOTAL, Masculin, Calarasi, Anul 2012, Lei, 1219
TOTAL, Masculin, Calarasi, Anul 2013, Lei, 1271
TOTAL, Masculin, Dambovita, Anul 2011, Lei, 1386
TOTAL, Masculin, Dambovita, Anul 2012, Lei, 1423
TOTAL, Masculin, Dambovita, Anul 2013, Lei, 1495
TOTAL, Masculin, Giurgiu, Anul 2011, Lei, 1359
TOTAL, Masculin, Giurgiu, Anul 2012, Lei, 1328
TOTAL, Masculin, Giurgiu, Anul 2013, Lei, 1373
TOTAL, Masculin, Ialomita, Anul 2011, Lei, 1224
TOTAL, Masculin, Ialomita, Anul 2012, Lei, 1256
TOTAL, Masculin, Ialomita, Anul 2013, Lei, 1267
TOTAL, Masculin, Prahova, Anul 2011, Lei, 1532
TOTAL, Masculin, Prahova, Anul 2012, Lei, 1662
TOTAL, Masculin, Prahova, Anul 2013, Lei, 1687
TOTAL, Masculin, Teleorman, Anul 2011, Lei, 1222
TOTAL, Masculin, Teleorman, Anul 2012, Lei, 1230
TOTAL, Masculin, Teleorman, Anul 2013, Lei, 1288
TOTAL, Masculin, Regiunea BUCURESTI - ILFOV, Anul 2011, Lei, 2173
TOTAL, Masculin, Regiunea BUCURESTI - ILFOV, Anul 2012, Lei, 2237
TOTAL, Masculin, Regiunea BUCURESTI - ILFOV, Anul 2013, Lei, 2326
TOTAL, Masculin, Ilfov, Anul 2011, Lei, 2061
TOTAL, Masculin, Ilfov, Anul 2012, Lei, 2145
TOTAL, Masculin, Ilfov, Anul 2013, Lei, 2106
TOTAL, Masculin, Municipiul Bucuresti, Anul 2011, Lei, 2188
TOTAL, Masculin, Municipiul Bucuresti, Anul 2012, Lei, 2250
TOTAL, Masculin, Municipiul Bucuresti, Anul 2013, Lei, 2356
TOTAL, Masculin, MACROREGIUNEA PATRU, Anul 2011, Lei, 1442
TOTAL, Masculin, MACROREGIUNEA PATRU, Anul 2012, Lei, 1513
TOTAL, Masculin, MACROREGIUNEA PATRU, Anul 2013, Lei, 1555
TOTAL, Masculin, Regiunea SUD-VEST OLTENIA, Anul 2011, Lei, 1469
TOTAL, Masculin, Regiunea SUD-VEST OLTENIA, Anul 2012, Lei, 1509
TOTAL, Masculin, Regiunea SUD-VEST OLTENIA, Anul 2013, Lei, 1544
TOTAL, Masculin, Dolj, Anul 2011, Lei, 1417
TOTAL, Masculin, Dolj, Anul 2012, Lei, 1455
TOTAL, Masculin, Dolj, Anul 2013, Lei, 1541
TOTAL, Masculin, Gorj, Anul 2011, Lei, 1772
TOTAL, Masculin, Gorj, Anul 2012, Lei, 1788
TOTAL, Masculin, Gorj, Anul 2013, Lei, 1810
TOTAL, Masculin, Mehedinti, Anul 2011, Lei, 1419
TOTAL, Masculin, Mehedinti, Anul 2012, Lei, 1399
TOTAL, Masculin, Mehedinti, Anul 2013, Lei, 1457
TOTAL, Masculin, Olt, Anul 2011, Lei, 1380
TOTAL, Masculin, Olt, Anul 2012, Lei, 1459
TOTAL, Masculin, Olt, Anul 2013, Lei, 1488
TOTAL, Masculin, Valcea, Anul 2011, Lei, 1326
TOTAL, Masculin, Valcea, Anul 2012, Lei, 1380
TOTAL, Masculin, Valcea, Anul 2013, Lei, 1356
TOTAL, Masculin, Regiunea VEST, Anul 2011, Lei, 1422
TOTAL, Masculin, Regiunea VEST, Anul 2012, Lei, 1516
TOTAL, Masculin, Regiunea VEST, Anul 2013, Lei, 1563
TOTAL, Masculin, Arad, Anul 2011, Lei, 1395
TOTAL, Masculin, Arad, Anul 2012, Lei, 1443
TOTAL, Masculin, Arad, Anul 2013, Lei, 1475
TOTAL, Masculin, Caras-Severin, Anul 2011, Lei, 1234
TOTAL, Masculin, Caras-Severin, Anul 2012, Lei, 1277
TOTAL, Masculin, Caras-Severin, Anul 2013, Lei, 1287
TOTAL, Masculin, Hunedoara, Anul 2011, Lei, 1315
TOTAL, Masculin, Hunedoara, Anul 2012, Lei, 1392
TOTAL, Masculin, Hunedoara, Anul 2013, Lei, 1395
TOTAL, Masculin, Timis, Anul 2011, Lei, 1539
TOTAL, Masculin, Timis, Anul 2012, Lei, 1682
TOTAL, Masculin, Timis, Anul 2013, Lei, 1763
TOTAL, Feminin, TOTAL, Anul 2011, Lei, 1349
TOTAL, Feminin, TOTAL, Anul 2012, Lei, 1424
TOTAL, Feminin, TOTAL, Anul 2013, Lei, 1509
TOTAL, Feminin, MACROREGIUNEA UNU, Anul 2011, Lei, 1173
TOTAL, Feminin, MACROREGIUNEA UNU, Anul 2012, Lei, 1236
TOTAL, Feminin, MACROREGIUNEA UNU, Anul 2013, Lei, 1325
TOTAL, Feminin, Regiunea NORD-VEST, Anul 2011, Lei, 1145
TOTAL, Feminin, Regiunea NORD-VEST, Anul 2012, Lei, 1222
TOTAL, Feminin, Regiunea NORD-VEST, Anul 2013, Lei, 1314
TOTAL, Feminin, Bihor, Anul 2011, Lei, 1003
TOTAL, Feminin, Bihor, Anul 2012, Lei, 1050
TOTAL, Feminin, Bihor, Anul 2013, Lei, 1142
TOTAL, Feminin, Bistrita-Nasaud, Anul 2011, Lei, 1056
TOTAL, Feminin, Bistrita-Nasaud, Anul 2012, Lei, 1129
TOTAL, Feminin, Bistrita-Nasaud, Anul 2013, Lei, 1196
TOTAL, Feminin, Cluj, Anul 2011, Lei, 1391
TOTAL, Feminin, Cluj, Anul 2012, Lei, 1504
TOTAL, Feminin, Cluj, Anul 2013, Lei, 1608
TOTAL, Feminin, Maramures, Anul 2011, Lei, 1020
TOTAL, Feminin, Maramures, Anul 2012, Lei, 1127
TOTAL, Feminin, Maramures, Anul 2013, Lei, 1174
TOTAL, Feminin, Satu Mare, Anul 2011, Lei, 1099
TOTAL, Feminin, Satu Mare, Anul 2012, Lei, 1139
TOTAL, Feminin, Satu Mare, Anul 2013, Lei, 1266
TOTAL, Feminin, Salaj, Anul 2011, Lei, 1076
TOTAL, Feminin, Salaj, Anul 2012, Lei, 1114
TOTAL, Feminin, Salaj, Anul 2013, Lei, 1166
TOTAL, Feminin, Regiunea CENTRU, Anul 2011, Lei, 1204
TOTAL, Feminin, Regiunea CENTRU, Anul 2012, Lei, 1250
TOTAL, Feminin, Regiunea CENTRU, Anul 2013, Lei, 1336
TOTAL, Feminin, Alba, Anul 2011, Lei, 1135
TOTAL, Feminin, Alba, Anul 2012, Lei, 1187
TOTAL, Feminin, Alba, Anul 2013, Lei, 1238
TOTAL, Feminin, Brasov, Anul 2011, Lei, 1302
TOTAL, Feminin, Brasov, Anul 2012, Lei, 1366
TOTAL, Feminin, Brasov, Anul 2013, Lei, 1419
TOTAL, Feminin, Covasna, Anul 2011, Lei, 1104
TOTAL, Feminin, Covasna, Anul 2012, Lei, 1121
TOTAL, Feminin, Covasna, Anul 2013, Lei, 1239
TOTAL, Feminin, Harghita, Anul 2011, Lei, 1027
TOTAL, Feminin, Harghita, Anul 2012, Lei, 1054
TOTAL, Feminin, Harghita, Anul 2013, Lei, 1130
TOTAL, Feminin, Mures, Anul 2011, Lei, 1178
TOTAL, Feminin, Mures, Anul 2012, Lei, 1228
TOTAL, Feminin, Mures, Anul 2013, Lei, 1326
TOTAL, Feminin, Sibiu, Anul 2011, Lei, 1294
TOTAL, Feminin, Sibiu, Anul 2012, Lei, 1327
TOTAL, Feminin, Sibiu, Anul 2013, Lei, 1453
TOTAL, Feminin, MACROREGIUNEA DOI, Anul 2011, Lei, 1160
TOTAL, Feminin, MACROREGIUNEA DOI, Anul 2012, Lei, 1204
TOTAL, Feminin, MACROREGIUNEA DOI, Anul 2013, Lei, 1294
TOTAL, Feminin, Regiunea NORD-EST, Anul 2011, Lei, 1160
TOTAL, Feminin, Regiunea NORD-EST, Anul 2012, Lei, 1203
TOTAL, Feminin, Regiunea NORD-EST, Anul 2013, Lei, 1297
TOTAL, Feminin, Bacau, Anul 2011, Lei, 1163
TOTAL, Feminin, Bacau, Anul 2012, Lei, 1212
TOTAL, Feminin, Bacau, Anul 2013, Lei, 1298
TOTAL, Feminin, Botosani, Anul 2011, Lei, 1108
TOTAL, Feminin, Botosani, Anul 2012, Lei, 1154
TOTAL, Feminin, Botosani, Anul 2013, Lei, 1210
TOTAL, Feminin, Iasi, Anul 2011, Lei, 1287
TOTAL, Feminin, Iasi, Anul 2012, Lei, 1316
TOTAL, Feminin, Iasi, Anul 2013, Lei, 1437
TOTAL, Feminin, Neamt, Anul 2011, Lei, 1082
TOTAL, Feminin, Neamt, Anul 2012, Lei, 1113
TOTAL, Feminin, Neamt, Anul 2013, Lei, 1213
TOTAL, Feminin, Suceava, Anul 2011, Lei, 1118
TOTAL, Feminin, Suceava, Anul 2012, Lei, 1155
TOTAL, Feminin, Suceava, Anul 2013, Lei, 1270
TOTAL, Feminin, Vaslui, Anul 2011, Lei, 1043
TOTAL, Feminin, Vaslui, Anul 2012, Lei, 1144
TOTAL, Feminin, Vaslui, Anul 2013, Lei, 1167
TOTAL, Feminin, Regiunea SUD-EST, Anul 2011, Lei, 1159
TOTAL, Feminin, Regiunea SUD-EST, Anul 2012, Lei, 1205
TOTAL, Feminin, Regiunea SUD-EST, Anul 2013, Lei, 1290
TOTAL, Feminin, Braila, Anul 2011, Lei, 1048
TOTAL, Feminin, Braila, Anul 2012, Lei, 1106
TOTAL, Feminin, Braila, Anul 2013, Lei, 1195
TOTAL, Feminin, Buzau, Anul 2011, Lei, 1100
TOTAL, Feminin, Buzau, Anul 2012, Lei, 1148
TOTAL, Feminin, Buzau, Anul 2013, Lei, 1232
TOTAL, Feminin, Constanta, Anul 2011, Lei, 1243
TOTAL, Feminin, Constanta, Anul 2012, Lei, 1288
TOTAL, Feminin, Constanta, Anul 2013, Lei, 1383
TOTAL, Feminin, Galati, Anul 2011, Lei, 1208
TOTAL, Feminin, Galati, Anul 2012, Lei, 1235
TOTAL, Feminin, Galati, Anul 2013, Lei, 1325
TOTAL, Feminin, Tulcea, Anul 2011, Lei, 1170
TOTAL, Feminin, Tulcea, Anul 2012, Lei, 1175
TOTAL, Feminin, Tulcea, Anul 2013, Lei, 1243
TOTAL, Feminin, Vrancea, Anul 2011, Lei, 1051
TOTAL, Feminin, Vrancea, Anul 2012, Lei, 1133
TOTAL, Feminin, Vrancea, Anul 2013, Lei, 1196
TOTAL, Feminin, MACROREGIUNEA TREI, Anul 2011, Lei, 1704
TOTAL, Feminin, MACROREGIUNEA TREI, Anul 2012, Lei, 1823
TOTAL, Feminin, MACROREGIUNEA TREI, Anul 2013, Lei, 1894
TOTAL, Feminin, Regiunea SUD-MUNTENIA, Anul 2011, Lei, 1208
TOTAL, Feminin, Regiunea SUD-MUNTENIA, Anul 2012, Lei, 1274
TOTAL, Feminin, Regiunea SUD-MUNTENIA, Anul 2013, Lei, 1368
TOTAL, Feminin, Arges, Anul 2011, Lei, 1364
TOTAL, Feminin, Arges, Anul 2012, Lei, 1419
TOTAL, Feminin, Arges, Anul 2013, Lei, 1559
TOTAL, Feminin, Calarasi, Anul 2011, Lei, 1106
TOTAL, Feminin, Calarasi, Anul 2012, Lei, 1128
TOTAL, Feminin, Calarasi, Anul 2013, Lei, 1242
TOTAL, Feminin, Dambovita, Anul 2011, Lei, 1118
TOTAL, Feminin, Dambovita, Anul 2012, Lei, 1214
TOTAL, Feminin, Dambovita, Anul 2013, Lei, 1325
TOTAL, Feminin, Giurgiu, Anul 2011, Lei, 1094
TOTAL, Feminin, Giurgiu, Anul 2012, Lei, 1145
TOTAL, Feminin, Giurgiu, Anul 2013, Lei, 1284
TOTAL, Feminin, Ialomita, Anul 2011, Lei, 1095
TOTAL, Feminin, Ialomita, Anul 2012, Lei, 1160
TOTAL, Feminin, Ialomita, Anul 2013, Lei, 1207
TOTAL, Feminin, Prahova, Anul 2011, Lei, 1253
TOTAL, Feminin, Prahova, Anul 2012, Lei, 1333
TOTAL, Feminin, Prahova, Anul 2013, Lei, 1381
TOTAL, Feminin, Teleorman, Anul 2011, Lei, 1042
TOTAL, Feminin, Teleorman, Anul 2012, Lei, 1089
TOTAL, Feminin, Teleorman, Anul 2013, Lei, 1167
TOTAL, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2011, Lei, 1987
TOTAL, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2012, Lei, 2131
TOTAL, Feminin, Regiunea BUCURESTI - ILFOV, Anul 2013, Lei, 2195
TOTAL, Feminin, Ilfov, Anul 2011, Lei, 1604
TOTAL, Feminin, Ilfov, Anul 2012, Lei, 1798
TOTAL, Feminin, Ilfov, Anul 2013, Lei, 1771
TOTAL, Feminin, Municipiul Bucuresti, Anul 2011, Lei, 2032
TOTAL, Feminin, Municipiul Bucuresti, Anul 2012, Lei, 2172
TOTAL, Feminin, Municipiul Bucuresti, Anul 2013, Lei, 2245
TOTAL, Feminin, MACROREGIUNEA PATRU, Anul 2011, Lei, 1200
TOTAL, Feminin, MACROREGIUNEA PATRU, Anul 2012, Lei, 1265
TOTAL, Feminin, MACROREGIUNEA PATRU, Anul 2013, Lei, 1363
TOTAL, Feminin, Regiunea SUD-VEST OLTENIA, Anul 2011, Lei, 1164
TOTAL, Feminin, Regiunea SUD-VEST OLTENIA, Anul 2012, Lei, 1219
TOTAL, Feminin, Regiunea SUD-VEST OLTENIA, Anul 2013, Lei, 1302
TOTAL, Feminin, Dolj, Anul 2011, Lei, 1232
TOTAL, Feminin, Dolj, Anul 2012, Lei, 1274
TOTAL, Feminin, Dolj, Anul 2013, Lei, 1379
TOTAL, Feminin, Gorj, Anul 2011, Lei, 1183
TOTAL, Feminin, Gorj, Anul 2012, Lei, 1269
TOTAL, Feminin, Gorj, Anul 2013, Lei, 1320
TOTAL, Feminin, Mehedinti, Anul 2011, Lei, 1150
TOTAL, Feminin, Mehedinti, Anul 2012, Lei, 1168
TOTAL, Feminin, Mehedinti, Anul 2013, Lei, 1266
TOTAL, Feminin, Olt, Anul 2011, Lei, 1056
TOTAL, Feminin, Olt, Anul 2012, Lei, 1159
TOTAL, Feminin, Olt, Anul 2013, Lei, 1255
TOTAL, Feminin, Valcea, Anul 2011, Lei, 1145
TOTAL, Feminin, Valcea, Anul 2012, Lei, 1175
TOTAL, Feminin, Valcea, Anul 2013, Lei, 1226
TOTAL, Feminin, Regiunea VEST, Anul 2011, Lei, 1228
TOTAL, Feminin, Regiunea VEST, Anul 2012, Lei, 1300
TOTAL, Feminin, Regiunea VEST, Anul 2013, Lei, 1409
TOTAL, Feminin, Arad, Anul 2011, Lei, 1172
TOTAL, Feminin, Arad, Anul 2012, Lei, 1230
TOTAL, Feminin, Arad, Anul 2013, Lei, 1324
TOTAL, Feminin, Caras-Severin, Anul 2011, Lei, 1058
TOTAL, Feminin, Caras-Severin, Anul 2012, Lei, 1128
TOTAL, Feminin, Caras-Severin, Anul 2013, Lei, 1155
TOTAL, Feminin, Hunedoara, Anul 2011, Lei, 1045
TOTAL, Feminin, Hunedoara, Anul 2012, Lei, 1171
TOTAL, Feminin, Hunedoara, Anul 2013, Lei, 1214
TOTAL, Feminin, Timis, Anul 2011, Lei, 1412
TOTAL, Feminin, Timis, Anul 2012, Lei, 1458
TOTAL, Feminin, Timis, Anul 2013, Lei, 1632
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, TOTAL, Anul 2008, Lei, 914
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, TOTAL, Anul 2009, Lei, 1007
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, TOTAL, Anul 2010, Lei, 1024
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, TOTAL, Anul 2011, Lei, 1044
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, TOTAL, Anul 2012, Lei, 1093
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, TOTAL, Anul 2013, Lei, 1179
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA UNU, Anul 2008, Lei, 889
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA UNU, Anul 2009, Lei, 1005
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA UNU, Anul 2010, Lei, 1040
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA UNU, Anul 2011, Lei, 1060
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA UNU, Anul 2012, Lei, 1038
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA UNU, Anul 2013, Lei, 1137
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-VEST, Anul 2008, Lei, 860
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-VEST, Anul 2009, Lei, 1045
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-VEST, Anul 2010, Lei, 1005
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-VEST, Anul 2011, Lei, 1034
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-VEST, Anul 2012, Lei, 1040
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-VEST, Anul 2013, Lei, 1103
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bihor, Anul 2008, Lei, 783
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bihor, Anul 2009, Lei, 1038
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bihor, Anul 2010, Lei, 1042
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bihor, Anul 2011, Lei, 965
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bihor, Anul 2012, Lei, 998
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bihor, Anul 2013, Lei, 1045
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bistrita-Nasaud, Anul 2008, Lei, 829
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bistrita-Nasaud, Anul 2009, Lei, 995
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bistrita-Nasaud, Anul 2010, Lei, 1068
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bistrita-Nasaud, Anul 2011, Lei, 1105
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bistrita-Nasaud, Anul 2012, Lei, 1012
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bistrita-Nasaud, Anul 2013, Lei, 1240
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Cluj, Anul 2008, Lei, 939
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Cluj, Anul 2009, Lei, 1054
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Cluj, Anul 2010, Lei, 986
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Cluj, Anul 2011, Lei, 1009
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Cluj, Anul 2012, Lei, 1026
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Cluj, Anul 2013, Lei, 1036
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Maramures, Anul 2008, Lei, 894
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Maramures, Anul 2009, Lei, 1018
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Maramures, Anul 2010, Lei, 1048
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Maramures, Anul 2011, Lei, 1057
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Maramures, Anul 2012, Lei, 1052
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Maramures, Anul 2013, Lei, 1228
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Satu Mare, Anul 2008, Lei, 884
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Satu Mare, Anul 2009, Lei, 1169
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Satu Mare, Anul 2010, Lei, 976
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Satu Mare, Anul 2011, Lei, 1130
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Satu Mare, Anul 2012, Lei, 1191
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Satu Mare, Anul 2013, Lei, 1164
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Salaj, Anul 2008, Lei, 844
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Salaj, Anul 2009, Lei, 880
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Salaj, Anul 2010, Lei, 866
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Salaj, Anul 2011, Lei, 893
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Salaj, Anul 2012, Lei, 890
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Salaj, Anul 2013, Lei, 885
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea CENTRU, Anul 2008, Lei, 911
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea CENTRU, Anul 2009, Lei, 976
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea CENTRU, Anul 2010, Lei, 1068
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea CENTRU, Anul 2011, Lei, 1081
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea CENTRU, Anul 2012, Lei, 1038
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea CENTRU, Anul 2013, Lei, 1163
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Alba, Anul 2008, Lei, 952
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Alba, Anul 2009, Lei, 991
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Alba, Anul 2010, Lei, 1082
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Alba, Anul 2011, Lei, 1178
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Alba, Anul 2012, Lei, 1046
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Alba, Anul 2013, Lei, 1324
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Brasov, Anul 2008, Lei, 903
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Brasov, Anul 2009, Lei, 960
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Brasov, Anul 2010, Lei, 1159
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Brasov, Anul 2011, Lei, 1141
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Brasov, Anul 2012, Lei, 1137
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Brasov, Anul 2013, Lei, 1236
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Covasna, Anul 2008, Lei, 795
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Covasna, Anul 2009, Lei, 907
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Covasna, Anul 2010, Lei, 878
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Covasna, Anul 2011, Lei, 962
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Covasna, Anul 2012, Lei, 890
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Covasna, Anul 2013, Lei, 895
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Harghita, Anul 2008, Lei, 858
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Harghita, Anul 2009, Lei, 949
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Harghita, Anul 2010, Lei, 889
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Harghita, Anul 2011, Lei, 922
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Harghita, Anul 2012, Lei, 857
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Harghita, Anul 2013, Lei, 982
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Mures, Anul 2008, Lei, 925
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Mures, Anul 2009, Lei, 1016
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Mures, Anul 2010, Lei, 1031
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Mures, Anul 2011, Lei, 1028
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Mures, Anul 2012, Lei, 1009
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Mures, Anul 2013, Lei, 1175
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Sibiu, Anul 2008, Lei, 949
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Sibiu, Anul 2009, Lei, 1003
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Sibiu, Anul 2010, Lei, 1261
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Sibiu, Anul 2011, Lei, 1081
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Sibiu, Anul 2012, Lei, 1194
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Sibiu, Anul 2013, Lei, 1124
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA DOI, Anul 2008, Lei, 886
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA DOI, Anul 2009, Lei, 952
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA DOI, Anul 2010, Lei, 1006
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA DOI, Anul 2011, Lei, 1032
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA DOI, Anul 2012, Lei, 1067
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, MACROREGIUNEA DOI, Anul 2013, Lei, 1156
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-EST, Anul 2008, Lei, 934
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-EST, Anul 2009, Lei, 1010
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-EST, Anul 2010, Lei, 1058
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-EST, Anul 2011, Lei, 1092
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-EST, Anul 2012, Lei, 1097
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Regiunea NORD-EST, Anul 2013, Lei, 1179
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bacau, Anul 2008, Lei, 995
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bacau, Anul 2009, Lei, 1066
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bacau, Anul 2010, Lei, 1114
A  AGRICULTURA  SILVICULTURA SI PESCUIT, Total, Bacau, Anul 2011, Lei, 1121
