
Categorii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii mc, Valoare
Total, Iasi, Anul 1996, Mii metri cubi, 194
Total, Iasi, Anul 1997, Mii metri cubi, 193.8
Total, Iasi, Anul 1998, Mii metri cubi, 187.8
Total, Iasi, Anul 1999, Mii metri cubi, 224.9
Total, Iasi, Anul 2000, Mii metri cubi, 249.5
Total, Iasi, Anul 2001, Mii metri cubi, 251
Total, Iasi, Anul 2002, Mii metri cubi, 278.4
Total, Iasi, Anul 2003, Mii metri cubi, 274.6
Total, Iasi, Anul 2004, Mii metri cubi, 296.9
Total, Iasi, Anul 2005, Mii metri cubi, 274.3
Total, Iasi, Anul 2006, Mii metri cubi, 231.6
Total, Iasi, Anul 2007, Mii metri cubi, 225
Total, Iasi, Anul 2008, Mii metri cubi, 239.2
Total, Iasi, Anul 2009, Mii metri cubi, 265.8
Total, Iasi, Anul 2010, Mii metri cubi, 271.3
Total, Iasi, Anul 2011, Mii metri cubi, 266.7
Total, Iasi, Anul 2012, Mii metri cubi, 281.8
Total, Iasi, Anul 2013, Mii metri cubi, 323.3
Total, Iasi, Anul 2014, Mii metri cubi, 317.6
Total, Iasi, Anul 2015, Mii metri cubi, 288.6
Total, Neamt, Anul 1990, Mii metri cubi, 1084.8
Total, Neamt, Anul 1991, Mii metri cubi, 929.4
Total, Neamt, Anul 1992, Mii metri cubi, 805.3
Total, Neamt, Anul 1993, Mii metri cubi, 972.8
Total, Neamt, Anul 1994, Mii metri cubi, 1006.2
Total, Neamt, Anul 1995, Mii metri cubi, 922.3
Total, Neamt, Anul 1996, Mii metri cubi, 761.3
Total, Neamt, Anul 1997, Mii metri cubi, 804.2
Total, Neamt, Anul 1998, Mii metri cubi, 797.7
Total, Neamt, Anul 1999, Mii metri cubi, 1198.4
Total, Neamt, Anul 2000, Mii metri cubi, 957.4
Total, Neamt, Anul 2001, Mii metri cubi, 854.8
Total, Neamt, Anul 2002, Mii metri cubi, 1014.8
Total, Neamt, Anul 2003, Mii metri cubi, 933.7
Total, Neamt, Anul 2004, Mii metri cubi, 1025.8
Total, Neamt, Anul 2005, Mii metri cubi, 961.9
Total, Neamt, Anul 2006, Mii metri cubi, 1045
Total, Neamt, Anul 2007, Mii metri cubi, 1123.4
Total, Neamt, Anul 2008, Mii metri cubi, 1099.8
Total, Neamt, Anul 2009, Mii metri cubi, 1222.8
Total, Neamt, Anul 2010, Mii metri cubi, 1253.1
Total, Neamt, Anul 2011, Mii metri cubi, 1200.5
Total, Neamt, Anul 2012, Mii metri cubi, 1240.2
Total, Neamt, Anul 2013, Mii metri cubi, 1298.1
Total, Neamt, Anul 2014, Mii metri cubi, 1249.7
Total, Neamt, Anul 2015, Mii metri cubi, 1193.8
Total, Suceava, Anul 1990, Mii metri cubi, 1564.6
Total, Suceava, Anul 1991, Mii metri cubi, 1468.1
Total, Suceava, Anul 1992, Mii metri cubi, 1419.5
Total, Suceava, Anul 1993, Mii metri cubi, 1421.2
Total, Suceava, Anul 1994, Mii metri cubi, 1334.9
Total, Suceava, Anul 1995, Mii metri cubi, 1281.8
Total, Suceava, Anul 1996, Mii metri cubi, 1321
Total, Suceava, Anul 1997, Mii metri cubi, 1265.7
Total, Suceava, Anul 1998, Mii metri cubi, 1303.1
Total, Suceava, Anul 1999, Mii metri cubi, 1372.1
Total, Suceava, Anul 2000, Mii metri cubi, 1576.7
Total, Suceava, Anul 2001, Mii metri cubi, 1433.1
Total, Suceava, Anul 2002, Mii metri cubi, 3124.5
Total, Suceava, Anul 2003, Mii metri cubi, 3279.6
Total, Suceava, Anul 2004, Mii metri cubi, 2177.5
Total, Suceava, Anul 2005, Mii metri cubi, 1711
Total, Suceava, Anul 2006, Mii metri cubi, 1714.7
Total, Suceava, Anul 2007, Mii metri cubi, 2467.6
Total, Suceava, Anul 2008, Mii metri cubi, 2322.5
Total, Suceava, Anul 2009, Mii metri cubi, 2344.2
Total, Suceava, Anul 2010, Mii metri cubi, 2299.6
Total, Suceava, Anul 2011, Mii metri cubi, 2530.9
Total, Suceava, Anul 2012, Mii metri cubi, 2595.3
Total, Suceava, Anul 2013, Mii metri cubi, 2489.6
Total, Suceava, Anul 2014, Mii metri cubi, 1892.3
Total, Suceava, Anul 2015, Mii metri cubi, 2183.6
Total, Vaslui, Anul 1990, Mii metri cubi, 207.1
Total, Vaslui, Anul 1991, Mii metri cubi, 183.4
Total, Vaslui, Anul 1992, Mii metri cubi, 193.9
Total, Vaslui, Anul 1993, Mii metri cubi, 192.8
Total, Vaslui, Anul 1994, Mii metri cubi, 178.2
Total, Vaslui, Anul 1995, Mii metri cubi, 167.8
Total, Vaslui, Anul 1996, Mii metri cubi, 169.7
Total, Vaslui, Anul 1997, Mii metri cubi, 135.4
Total, Vaslui, Anul 1998, Mii metri cubi, 125
Total, Vaslui, Anul 1999, Mii metri cubi, 132.1
Total, Vaslui, Anul 2000, Mii metri cubi, 172
Total, Vaslui, Anul 2001, Mii metri cubi, 160.2
Total, Vaslui, Anul 2002, Mii metri cubi, 170.4
Total, Vaslui, Anul 2003, Mii metri cubi, 174.6
Total, Vaslui, Anul 2004, Mii metri cubi, 177.4
Total, Vaslui, Anul 2005, Mii metri cubi, 176.1
Total, Vaslui, Anul 2006, Mii metri cubi, 197.5
Total, Vaslui, Anul 2007, Mii metri cubi, 171.3
Total, Vaslui, Anul 2008, Mii metri cubi, 165.3
Total, Vaslui, Anul 2009, Mii metri cubi, 166.4
Total, Vaslui, Anul 2010, Mii metri cubi, 152.4
Total, Vaslui, Anul 2011, Mii metri cubi, 167.5
Total, Vaslui, Anul 2012, Mii metri cubi, 169
